# mode   [cm-1]    [THz]      IR
    3      0.00    0.0000    0.0000
    4    121.10    3.6305    0.0000
    5    121.38    3.6388    0.0000
    6    181.81    5.4505    0.0000
    7    250.39    7.5065    0.1758
    8    250.44    7.5080    0.1747
    9    340.21   10.1993    0.0000
   10    348.54   10.4488    4.8086
   11    374.82   11.2367    2.7843
   12    375.07   11.2443    2.7878
   13    421.17   12.6264    8.5704
   14    421.24   12.6285    8.5740
   15    438.54   13.1471    0.0009
   16    462.80   13.8744    9.2499
   17    667.48   20.0105    0.4631
   18    667.63   20.0152    0.4681
   19    751.46   22.5282    2.6329
   20    767.06   22.9959    3.4829
   21    767.07   22.9963    3.4853
   22   1041.47   31.2225   42.1997
   23   1041.61   31.2268   42.2126
   24   1048.33   31.4282   44.4849
   25   1060.26   31.7858    0.0001
   26   1133.13   33.9705    0.4146
   27   1133.23   33.9732    0.4331
